id,name,category,claim,title,url,evidence_date,accessed,geography
ibew,IBEW International,Union,IBEW describes its members performing data-center electrical construction. National-union evidence does not establish a particular local or member worked on a project.,The Data Center Surge,https://ibew.org/electrical_worker/the-data-center-surge-a-new-generation-of-ibew-jobs/,2025-05-01,2026-09-15,US / international
ibew143,IBEW Local 143,Union,"Local 143 presents proposed regional data centers as an opportunity for union construction work. This documents public support, not a signed construction award.",Central Pennsylvania data-center projects,https://ibewlocal143.org/26-billion-in-datacenter-projects-announced-in-central-pennsylvania/,2025-07-25,2026-09-15,Pennsylvania
ibew163,IBEW Local 163,Union,The local job-call page lists electrical work at Salem Township Data Center Building 101.,IBEW 163 job calls,https://www.ibew163jobcalls.com/,,2026-09-15,Pennsylvania
ua,United Association,Union,The United Association describes data-center construction as work for its membership and advocates for the sector.,United Association: Data Centers,https://www.uagetinvolved.org/issues/datacenters/,,2026-09-15,US / international
ua449,Steamfitters Local 449,Union,Local 449 highlights its business manager discussing western Pennsylvania data-center development and resulting jobs.,Steamfitters 449 news,https://ua449.com/blog/,,2026-09-15,Pennsylvania
liuna,LIUNA,Union,"LIUNA supports data-center development subject to labor, community, environmental, and ratepayer protections.",LIUNA statement on responsible data-center development,https://www.liuna.org/news/story/statement-of-liuna-general-president-brent-booker-on-responsible-data-center-development,2026-08-25,2026-09-15,Pennsylvania / national
nabtu,North America’s Building Trades Unions,Union federation,NABTU announced a labor agreement covering construction of the OpenAI and Oracle Stargate campus in Michigan.,NABTU data-center agreement,https://nabtu.org/press_releases/north-americas-building-trades-unions-announce-data-center-agreement/,2026-04-20,2026-09-15,US / international
eas,Eastern Atlantic States Regional Council of Carpenters,Union,The council describes its carpenters constructing data centers.,EAS carpenters and data-center construction,https://easdatacenters.com/building-the-future-of-tech-eas-carpenters-power-the-data-center-boom/,,2026-09-15,Eastern US
smart,SMART International,Union,SMART describes members manufacturing cooling equipment used in data centers. This is national-union evidence; it does not establish a specific local’s project.,SMART production news,https://www.smart-union.org/tag/production/,,2026-09-15,US / international
pachamber,Pennsylvania Chamber of Business and Industry,Industry advocacy,The chamber promotes the economic and employment benefits of data-center development.,PA Chamber energy FAQs,https://www.pachamber.org/energy_faqs/,,2026-09-15,Pennsylvania
babst,Babst Calland,Legal representation,"Babst Calland describes legal work supporting data-center projects, including power, land acquisition, zoning and permitting.",Data Center Development,https://www.babstcalland.com/wp-content/uploads/2026/01/Data-Center-Development.pdf,2026-01,2026-09-15,Pennsylvania / West Virginia
duane,Duane Morris,Legal representation,"The firm describes advising data-center developers, operators, cloud providers and investors.",Data Centers and Digital Infrastructure,https://www.duanemorris.com/practices/data_centers_and_digital_infrastructure.html,,2026-09-15,US / international
buchanan,Buchanan Ingersoll & Rooney,Legal representation,Buchanan describes working with clients across the data-center development lifecycle.,Pennsylvania data-center market,https://www.bipc.com/pennsylvania-is-emerging-as-a-premier-market-for-data-centers-heres-how-to-capture-the-opportunity,2026-05-14,2026-09-15,Pennsylvania
cozen,Cozen O’Connor,Legal representation,Cozen O’Connor lists data centers among the properties covered by its leasing representation.,Real Estate practice,https://www.cozen.com/practices/real-estate,,2026-09-15,US / international
mcnees,McNees Wallace & Nurick,Legal representation,McNees describes advising large-scale data-center development on permitting and environmental issues.,Environmental practice,https://www.mcneeslaw.com/services/environmental/,,2026-09-15,US / international
holland,Holland & Knight,Legal representation,"Holland & Knight describes representation involving data-center acquisition, development and regulatory matters.",Data Centers practice,https://www.hklaw.com/en/services/practices/real-estate-hospitality-and-leisure/data-centers,,2026-09-15,US / international
clayco,Clayco,Construction,Clayco lists data-center design and construction work and named completed projects.,Clayco mission-critical construction,https://claycorp.com/work/mission-critical,,2026-09-15,US / international
suffolk,Suffolk Construction,Construction,Suffolk describes its data-center construction business and lists projects.,Suffolk mission-critical construction,https://suffolk.com/sector/mission-critical/,,2026-09-15,US / international
comcast,Comcast,Network supplier,"Comcast offers data-center connectivity services. This is a supplier connection, not evidence of owning a hyperscale campus.",Comcast Business connectivity,https://business.comcast.com/enterprise/products-services/connectivity,,2026-09-15,US / international
verizon,Verizon,Network supplier,Verizon describes building high-capacity fiber pathways connecting AWS data centers.,Verizon and AWS fiber agreement,https://www.verizon.com/about/news/verizon-business-and-aws-new-fiber-deal,2025,2026-09-15,US / international
pnc,PNC,Finance / enterprise operator,PNC lists data centers and cloud services among the sectors covered by its technology banking business.,PNC technology finance,https://www.pnc.com/en/corporate-and-institutional/topics/specialty-segments/technology-banking-solutions.html,,2026-09-15,US / international
ironmountain,Iron Mountain,Operator,"Iron Mountain describes its underground colocation data center in Boyers, Pennsylvania.",Western Pennsylvania data center,https://www.ironmountain.com/data-centers/locations/na/pennsylvania-data-center,,2026-09-15,Pennsylvania
ibm,IBM,Operator,IBM describes its global network of cloud data centers.,IBM Cloud global data centers,https://www.ibm.com/solutions/cloud-data-centers,,2026-09-15,US / international
equinix,Equinix,Operator,Equinix offers Philadelphia colocation and data-center interconnection services.,Equinix Philadelphia data centers,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/philadelphia-data-centers,,2026-09-15,Pennsylvania
ugi,UGI,Power supplier / land,UGI describes a property sale and dedicated gas infrastructure supporting a proposed Pennsylvania data-center campus.,UGI and Prime Data Centers partnership,https://ugi.gcs-web.com/news-releases/news-release-details/ugi-energy-services-and-prime-data-centers-forge-strategic,2026-05-06,2026-09-15,Pennsylvania
eqtgas,EQT Corporation (natural gas),Power supplier,EQT describes its natural-gas business positioning and supply agreements supporting data-center power demand. Distinct from the unrelated investment firm EQT.,EQT first-quarter 2024 presentation,https://s24.q4cdn.com/922296017/files/doc_financials/2024/q1/EQT-Q1-2024-Earnings-Presentation.pdf,2024,2026-09-15,US
eqtinvest,EQT investment group,Investor,"EQT Infrastructure announced a partnership with EdgeConneX to build and operate hyperscale data centers. Distinct from EQT Corporation, the gas company.",EQT and EdgeConneX partnership,https://eqtgroup.com/news/eqt-infrastructure-to-partner-with-edgeconnex-to-develop-data-centers-for-global-hyperscale-customers-2024-01-05,2024-01-05,2026-09-15,US / international
iuoe542,Operating Engineers Local 542,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
smart19,Sheet Metal Workers Local 19,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
boiler13,Boilermakers Local 13,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
painters21,Painters District Council 21,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
roof30,Roofers Local 30,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
cement592,Cement Masons Local 592,Union,Listed as a signatory to the Project Washington data-center labor agreement.,"Project Washington labor partnership, page 2",https://projwashington.com/wp-content/uploads/2025/11/Labor-and-Project-Washington-Announce-Partnership.pdf,2025-10-24,2026-09-15,Delaware
ua420,Steamfitters Local 420,Union,The United Association identifies Local 420’s business manager describing data-center work opportunities.,UA business manager highlights data-center opportunities,https://www.uagetinvolved.org/news/ua-business-manager-highlights-data-center-opportunities/,2026-06-09,2026-09-15,Pennsylvania
